model,image,image_sha256,draw,noise_seed,snr_db,payload_uses,scale_uses,feedback_uses,cbr_payload,cbr_total,mse,psnr,lpips,ms_ssim,diffusion_nfe,diffusion_seconds
CDDM_author_JSCC_snr10_C36_paid_scale,02.png,4f4b74a79237e311d72cad958237b5f7088d8bce1c82305ebefe1a70e3022dfd,7,4197413953,10.0,4608.0,32,2,0.0234375,0.023610432942708332,0.0009719398804008961,30.123607635498047,0.2586396336555481,0.9358648061752319,0,0.0
CDDM_author_C36_paid_scale,02.png,4f4b74a79237e311d72cad958237b5f7088d8bce1c82305ebefe1a70e3022dfd,8,3877328360,10.0,4608.0,32,2,0.0234375,0.023610432942708332,0.000921538274269551,30.35486602783203,0.24867787957191467,0.9361158609390259,93,2.7079428890137933
CDDM_author_JSCC_snr13_C36_paid_scale,02.png,4f4b74a79237e311d72cad958237b5f7088d8bce1c82305ebefe1a70e3022dfd,8,3877328360,10.0,4608.0,32,2,0.0234375,0.023610432942708332,0.0010005547665059566,29.99759292602539,0.23116791248321533,0.9338805675506592,0,0.0
CDDM_author_JSCC_snr10_C36_paid_scale,02.png,4f4b74a79237e311d72cad958237b5f7088d8bce1c82305ebefe1a70e3022dfd,8,3877328360,10.0,4608.0,32,2,0.0234375,0.023610432942708332,0.0009551172843202949,30.199432373046875,0.25632184743881226,0.933351993560791,0,0.0
CDDM_author_C36_paid_scale,02.png,4f4b74a79237e311d72cad958237b5f7088d8bce1c82305ebefe1a70e3022dfd,9,3807261312,10.0,4608.0,32,2,0.0234375,0.023610432942708332,0.0009267677087336779,30.330291748046875,0.2498762011528015,0.9369913339614868,93,4.05063330300618
CDDM_author_JSCC_snr13_C36_paid_scale,02.png,4f4b74a79237e311d72cad958237b5f7088d8bce1c82305ebefe1a70e3022dfd,9,3807261312,10.0,4608.0,32,2,0.0234375,0.023610432942708332,0.0010272099170833826,29.883407592773438,0.2327558994293213,0.934710681438446,0,0.0
CDDM_author_JSCC_snr10_C36_paid_scale,02.png,4f4b74a79237e311d72cad958237b5f7088d8bce1c82305ebefe1a70e3022dfd,9,3807261312,10.0,4608.0,32,2,0.0234375,0.023610432942708332,0.0009576503071002662,30.187931060791016,0.2608124911785126,0.933822512626648,0,0.0
CDDM_author_C36_paid_scale,03.png,e25ca1ff2f0c0cb5fdfd5f9b0a0bb21ac4c3de3c84a67f35b09a85d3306249db,0,3687849831,10.0,4608.0,32,2,0.0234375,0.023610432942708332,0.0009197813342325389,30.363155364990234,0.11170752346515656,0.960946261882782,93,4.04598617501324
CDDM_author_JSCC_snr13_C36_paid_scale,03.png,e25ca1ff2f0c0cb5fdfd5f9b0a0bb21ac4c3de3c84a67f35b09a85d3306249db,0,3687849831,10.0,4608.0,32,2,0.0234375,0.023610432942708332,0.0010434524156153202,29.815275192260742,0.10667712241411209,0.9556474089622498,0,0.0
CDDM_author_JSCC_snr10_C36_paid_scale,03.png,e25ca1ff2f0c0cb5fdfd5f9b0a0bb21ac4c3de3c84a67f35b09a85d3306249db,0,3687849831,10.0,4608.0,32,2,0.0234375,0.023610432942708332,0.0009600149933248758,30.177221298217773,0.13513292372226715,0.958284854888916,0,0.0
CDDM_author_C36_paid_scale,03.png,e25ca1ff2f0c0cb5fdfd5f9b0a0bb21ac4c3de3c84a67f35b09a85d3306249db,1,2694932120,10.0,4608.0,32,2,0.0234375,0.023610432942708332,0.0009471021476201713,30.236034393310547,0.10883966088294983,0.9607436656951904,93,4.04136400698917
CDDM_author_JSCC_snr13_C36_paid_scale,03.png,e25ca1ff2f0c0cb5fdfd5f9b0a0bb21ac4c3de3c84a67f35b09a85d3306249db,1,2694932120,10.0,4608.0,32,2,0.0234375,0.023610432942708332,0.0010825402569025755,29.655561447143555,0.10526168346405029,0.9567944407463074,0,0.0
CDDM_author_JSCC_snr10_C36_paid_scale,03.png,e25ca1ff2f0c0cb5fdfd5f9b0a0bb21ac4c3de3c84a67f35b09a85d3306249db,1,2694932120,10.0,4608.0,32,2,0.0234375,0.023610432942708332,0.0009634867310523987,30.161542892456055,0.12906990945339203,0.958808422088623,0,0.0
CDDM_author_C36_paid_scale,03.png,e25ca1ff2f0c0cb5fdfd5f9b0a0bb21ac4c3de3c84a67f35b09a85d3306249db,2,1212515068,10.0,4608.0,32,2,0.0234375,0.023610432942708332,0.0009639485506340861,30.15946388244629,0.11273101717233658,0.9613478183746338,93,4.07009722100338
CDDM_author_JSCC_snr13_C36_paid_scale,03.png,e25ca1ff2f0c0cb5fdfd5f9b0a0bb21ac4c3de3c84a67f35b09a85d3306249db,2,1212515068,10.0,4608.0,32,2,0.0234375,0.023610432942708332,0.0010308707132935524,29.867956161499023,0.10885556042194366,0.956477165222168,0,0.0
CDDM_author_JSCC_snr10_C36_paid_scale,03.png,e25ca1ff2f0c0cb5fdfd5f9b0a0bb21ac4c3de3c84a67f35b09a85d3306249db,2,1212515068,10.0,4608.0,32,2,0.0234375,0.023610432942708332,0.0009671389125287533,30.145111083984375,0.13025903701782227,0.9582235217094421,0,0.0
CDDM_author_C36_paid_scale,03.png,e25ca1ff2f0c0cb5fdfd5f9b0a0bb21ac4c3de3c84a67f35b09a85d3306249db,3,1452476945,10.0,4608.0,32,2,0.0234375,0.023610432942708332,0.0009097999427467585,30.410541534423828,0.11008505523204803,0.9616605639457703,93,4.070205116004217
CDDM_author_JSCC_snr13_C36_paid_scale,03.png,e25ca1ff2f0c0cb5fdfd5f9b0a0bb21ac4c3de3c84a67f35b09a85d3306249db,3,1452476945,10.0,4608.0,32,2,0.0234375,0.023610432942708332,0.0010197409428656101,29.915102005004883,0.10568834841251373,0.9565132856369019,0,0.0
CDDM_author_JSCC_snr10_C36_paid_scale,03.png,e25ca1ff2f0c0cb5fdfd5f9b0a0bb21ac4c3de3c84a67f35b09a85d3306249db,3,1452476945,10.0,4608.0,32,2,0.0234375,0.023610432942708332,0.0009801745181903243,30.08696746826172,0.1279081106185913,0.958182692527771,0,0.0
CDDM_author_C36_paid_scale,03.png,e25ca1ff2f0c0cb5fdfd5f9b0a0bb21ac4c3de3c84a67f35b09a85d3306249db,4,3521783118,10.0,4608.0,32,2,0.0234375,0.023610432942708332,0.0009304302511736751,30.31316375732422,0.10688280314207077,0.9609996676445007,93,4.051473747997079
CDDM_author_JSCC_snr13_C36_paid_scale,03.png,e25ca1ff2f0c0cb5fdfd5f9b0a0bb21ac4c3de3c84a67f35b09a85d3306249db,4,3521783118,10.0,4608.0,32,2,0.0234375,0.023610432942708332,0.0010504802921786904,29.786121368408203,0.10718027502298355,0.9559778571128845,0,0.0
CDDM_author_JSCC_snr10_C36_paid_scale,03.png,e25ca1ff2f0c0cb5fdfd5f9b0a0bb21ac4c3de3c84a67f35b09a85d3306249db,4,3521783118,10.0,4608.0,32,2,0.0234375,0.023610432942708332,0.0009454466635361314,30.243629455566406,0.1347024291753769,0.9584321975708008,0,0.0
CDDM_author_C36_paid_scale,03.png,e25ca1ff2f0c0cb5fdfd5f9b0a0bb21ac4c3de3c84a67f35b09a85d3306249db,5,4270040323,10.0,4608.0,32,2,0.0234375,0.023610432942708332,0.0008948941249400377,30.482282638549805,0.10887690633535385,0.9618191123008728,93,3.2473288559704088
CDDM_author_JSCC_snr13_C36_paid_scale,03.png,e25ca1ff2f0c0cb5fdfd5f9b0a0bb21ac4c3de3c84a67f35b09a85d3306249db,5,4270040323,10.0,4608.0,32,2,0.0234375,0.023610432942708332,0.0010223030112683773,29.904203414916992,0.10584212839603424,0.9575235247612,0,0.0
CDDM_author_JSCC_snr10_C36_paid_scale,03.png,e25ca1ff2f0c0cb5fdfd5f9b0a0bb21ac4c3de3c84a67f35b09a85d3306249db,5,4270040323,10.0,4608.0,32,2,0.0234375,0.023610432942708332,0.000948309141676873,30.23050308227539,0.12538723647594452,0.9591726660728455,0,0.0
CDDM_author_C36_paid_scale,03.png,e25ca1ff2f0c0cb5fdfd5f9b0a0bb21ac4c3de3c84a67f35b09a85d3306249db,6,3239262627,10.0,4608.0,32,2,0.0234375,0.023610432942708332,0.0009222072549164295,30.351715087890625,0.11091656982898712,0.9602817893028259,93,4.064360416028649
CDDM_author_JSCC_snr13_C36_paid_scale,03.png,e25ca1ff2f0c0cb5fdfd5f9b0a0bb21ac4c3de3c84a67f35b09a85d3306249db,6,3239262627,10.0,4608.0,32,2,0.0234375,0.023610432942708332,0.0010112792951986194,29.951290130615234,0.10609610378742218,0.9561761617660522,0,0.0
