dataset,image,snr_db,speed_kmh,channel_seed,h1_real,h1_imag,h2_real,h2_imag,method,nack,scale_bits,payload_uses,total_uses,mse,psnr,ms_ssim,lpips,outage
kodak,01.png,6.0,30.0,2897411439,0.10902950912714005,1.8697912693023682,0.21637366712093353,1.6484785079956055,same_codec_direct,0,4096,4096,12290,0.009644076228141785,20.15739365556041,0.7861172556877136,0.568372368812561,1
kodak,01.png,6.0,30.0,2897411439,0.10902950912714005,1.8697912693023682,0.21637366712093353,1.6484785079956055,same_codec_full_HARQ,1,4096,8192,16388,0.00953320600092411,20.207610223037666,0.7926145792007446,0.5688045024871826,1
kodak,01.png,6.0,30.0,2897411439,0.10902950912714005,1.8697912693023682,0.21637366712093353,1.6484785079956055,adaptive_HARQ,1,4096,8192,16388,0.00953320600092411,20.207610223037666,0.7926145792007446,0.5688045024871826,1
kodak,01.png,6.0,30.0,2897411439,0.10902950912714005,1.8697912693023682,0.21637366712093353,1.6484785079956055,FlowHARQ,1,4096,8192,16388,0.00953320600092411,20.207610223037666,0.7926145792007446,0.5688045024871826,1
kodak,01.png,6.0,60.0,1870305362,-0.7778061628341675,-0.45555222034454346,0.31580668687820435,-0.251518189907074,SwinJSCC_author_one_shot,0,16,4096,4130,0.005260944366455078,22.78936290764962,0.8740646839141846,0.27769914269447327,1
kodak,01.png,6.0,60.0,1870305362,-0.7778061628341675,-0.45555222034454346,0.31580668687820435,-0.251518189907074,SwinJSCC_author_Chase_wrapper,1,16,8192,8228,0.004585293121635914,23.386328961902606,0.893549382686615,0.25350818037986755,1
kodak,01.png,6.0,60.0,1870305362,-0.7778061628341675,-0.45555222034454346,0.31580668687820435,-0.251518189907074,same_codec_direct,0,4096,4096,12290,0.009975628927350044,20.0105971408059,0.7525281310081482,0.5904741883277893,1
kodak,01.png,6.0,60.0,1870305362,-0.7778061628341675,-0.45555222034454346,0.31580668687820435,-0.251518189907074,same_codec_full_HARQ,1,4096,8192,16388,0.009866951033473015,20.058170270571573,0.7596925497055054,0.5839696526527405,1
kodak,01.png,6.0,60.0,1870305362,-0.7778061628341675,-0.45555222034454346,0.31580668687820435,-0.251518189907074,adaptive_HARQ,1,4096,8192,16388,0.009866951033473015,20.058170270571573,0.7596925497055054,0.5839696526527405,1
kodak,01.png,6.0,60.0,1870305362,-0.7778061628341675,-0.45555222034454346,0.31580668687820435,-0.251518189907074,FlowHARQ,1,4096,8192,16388,0.009866951033473015,20.058170270571573,0.7596925497055054,0.5839696526527405,1
kodak,01.png,6.0,90.0,1218671532,0.6416305303573608,-1.174882411956787,-0.2806810736656189,0.30404072999954224,SwinJSCC_author_one_shot,0,16,4096,4130,0.0033276311587542295,24.778648177764637,0.9281952381134033,0.22385375201702118,0
