model,image,image_sha256,snr_db,draw,noise_seed,payload_uses,scale_uses,rate_map_bits,rate_map_uses,feedback_uses,cbr_payload,cbr_total,mse,psnr,ms_ssim,lpips
ntscc_quality2_paid_metadata,07.png,b77d3f006f42414bb242222e0482e750c0fb9e5ee8d4bed2f6f11c5605fe54a4,10.0,3,1166698755,8218.0,32,1024,2048,2,0.041798909505208336,0.052388509114583336,0.0007231495692394674,31.407718658447266,0.9770018458366394,0.060139816254377365
ntscc_quality2_paid_metadata,07.png,b77d3f006f42414bb242222e0482e750c0fb9e5ee8d4bed2f6f11c5605fe54a4,10.0,4,2138521498,8218.0,32,1024,2048,2,0.041798909505208336,0.052388509114583336,0.0007392194820567966,31.312265396118164,0.9766998291015625,0.06022722274065018
ntscc_quality2_paid_metadata,07.png,b77d3f006f42414bb242222e0482e750c0fb9e5ee8d4bed2f6f11c5605fe54a4,10.0,5,2286467145,8218.0,32,1024,2048,2,0.041798909505208336,0.052388509114583336,0.0007326168706640601,31.351232528686523,0.9761945605278015,0.061964090913534164
ntscc_quality2_paid_metadata,07.png,b77d3f006f42414bb242222e0482e750c0fb9e5ee8d4bed2f6f11c5605fe54a4,10.0,6,4264189687,8218.0,32,1024,2048,2,0.041798909505208336,0.052388509114583336,0.0007368386723101139,31.326274871826172,0.9763354063034058,0.06335581094026566
ntscc_quality2_paid_metadata,07.png,b77d3f006f42414bb242222e0482e750c0fb9e5ee8d4bed2f6f11c5605fe54a4,10.0,7,653540486,8218.0,32,1024,2048,2,0.041798909505208336,0.052388509114583336,0.000744797638617456,31.279617309570312,0.9766227006912231,0.061386995017528534
ntscc_quality2_paid_metadata,07.png,b77d3f006f42414bb242222e0482e750c0fb9e5ee8d4bed2f6f11c5605fe54a4,10.0,8,615988308,8218.0,32,1024,2048,2,0.041798909505208336,0.052388509114583336,0.0007343755569308996,31.340818405151367,0.9764184951782227,0.06166014447808266
ntscc_quality2_paid_metadata,07.png,b77d3f006f42414bb242222e0482e750c0fb9e5ee8d4bed2f6f11c5605fe54a4,10.0,9,769145919,8218.0,32,1024,2048,2,0.041798909505208336,0.052388509114583336,0.0007232362404465675,31.40719985961914,0.9767150282859802,0.06288721412420273
ntscc_quality2_paid_metadata,08.png,ba23983c76b4832ee0e8af0592664756841a16779acd69f792e268fb6d13d6e7,10.0,0,3665181027,9549.0,32,1024,2048,2,0.0485687255859375,0.0591583251953125,0.0013436781009659171,28.71704864501953,0.9707069396972656,0.06901624798774719
ntscc_quality2_paid_metadata,08.png,ba23983c76b4832ee0e8af0592664756841a16779acd69f792e268fb6d13d6e7,10.0,1,2366869995,9549.0,32,1024,2048,2,0.0485687255859375,0.0591583251953125,0.001359337940812111,28.66672706604004,0.9706107974052429,0.06985557079315186
ntscc_quality2_paid_metadata,08.png,ba23983c76b4832ee0e8af0592664756841a16779acd69f792e268fb6d13d6e7,10.0,2,3357623517,9549.0,32,1024,2048,2,0.0485687255859375,0.0591583251953125,0.001382949179969728,28.591938018798828,0.9698948860168457,0.06808077543973923
