model,image,image_sha256,draw,noise_seed,rounds,snr_db,height,width,cbr_payload,mse,psnr,ms_ssim,ms_ssim_db,lpips
DeepJSCC-f_author_DIV2K,04.png,e3b946107c5d3441c022f678d0c3caf1e224d81b1604ba840a4f88e562de61aa,8,100037078,1,10,256,256,0.041666666666666664,0.0008019238593988121,30.958669662475586,0.9441205859184265,12.527481079101562,0.26644980907440186
DeepJSCC-f_author_DIV2K,04.png,e3b946107c5d3441c022f678d0c3caf1e224d81b1604ba840a4f88e562de61aa,9,100037079,1,10,256,256,0.041666666666666664,0.0008209735387936234,30.856708526611328,0.9405855536460876,12.261079788208008,0.2700043022632599
DeepJSCC-f_author_DIV2K,05.png,10349e963c5c813d327852f82c1795fa4148d69fedffc4c589bee458e3ac3d53,0,100047070,1,10,256,256,0.041666666666666664,0.006977465003728867,21.563024520874023,0.9226534366607666,11.11559009552002,0.2548568546772003
DeepJSCC-f_author_DIV2K,05.png,10349e963c5c813d327852f82c1795fa4148d69fedffc4c589bee458e3ac3d53,1,100047071,1,10,256,256,0.041666666666666664,0.006868477910757065,21.631393432617188,0.9219490885734558,11.076221466064453,0.25878891348838806
DeepJSCC-f_author_DIV2K,05.png,10349e963c5c813d327852f82c1795fa4148d69fedffc4c589bee458e3ac3d53,2,100047072,1,10,256,256,0.041666666666666664,0.006899876054376364,21.61158561706543,0.9231061935424805,11.14108657836914,0.2595422863960266
DeepJSCC-f_author_DIV2K,05.png,10349e963c5c813d327852f82c1795fa4148d69fedffc4c589bee458e3ac3d53,3,100047073,1,10,256,256,0.041666666666666664,0.006996922194957733,21.55093002319336,0.9223033785820007,11.095979690551758,0.2578679323196411
DeepJSCC-f_author_DIV2K,05.png,10349e963c5c813d327852f82c1795fa4148d69fedffc4c589bee458e3ac3d53,4,100047074,1,10,256,256,0.041666666666666664,0.006842516362667084,21.647842407226562,0.9223312735557556,11.097537994384766,0.25708356499671936
DeepJSCC-f_author_DIV2K,05.png,10349e963c5c813d327852f82c1795fa4148d69fedffc4c589bee458e3ac3d53,5,100047075,1,10,256,256,0.041666666666666664,0.006943098269402981,21.58446502685547,0.921869695186615,11.071805000305176,0.2590685188770294
DeepJSCC-f_author_DIV2K,05.png,10349e963c5c813d327852f82c1795fa4148d69fedffc4c589bee458e3ac3d53,6,100047076,1,10,256,256,0.041666666666666664,0.006941485218703747,21.58547592163086,0.922705352306366,11.11850643157959,0.26019299030303955
DeepJSCC-f_author_DIV2K,05.png,10349e963c5c813d327852f82c1795fa4148d69fedffc4c589bee458e3ac3d53,7,100047077,1,10,256,256,0.041666666666666664,0.006935952231287956,21.588939666748047,0.9219788312911987,11.077876091003418,0.2622242271900177
DeepJSCC-f_author_DIV2K,05.png,10349e963c5c813d327852f82c1795fa4148d69fedffc4c589bee458e3ac3d53,8,100047078,1,10,256,256,0.041666666666666664,0.0068411375395953655,21.64871597290039,0.9228417873382568,11.126178741455078,0.2626878619194031
DeepJSCC-f_author_DIV2K,05.png,10349e963c5c813d327852f82c1795fa4148d69fedffc4c589bee458e3ac3d53,9,100047079,1,10,256,256,0.041666666666666664,0.00686064874753356,21.636348724365234,0.9215914607048035,11.056365966796875,0.2656678855419159
