dataset,image,training_seed,channel_seed,snr_db,speed_kmh,scale_mode,method,nack,payload_uses,scale_bits,feedback_bits,total_uses,psnr,mse,lpips,ms_ssim,outage,false_ack
div2k,0865.png,2030,8001,12.0,30.0,binary16,direct,0,4096,4096,1,12290,24.342121124267578,0.003679491812363267,0.6005945205688477,0.8440247178077698,0,0
div2k,0866.png,2030,8001,12.0,30.0,binary16,direct,0,4096,4096,1,12290,31.382549285888672,0.0007273529190570116,0.4739299714565277,0.9318060874938965,0,0
div2k,0867.png,2030,8001,12.0,30.0,binary16,direct,0,4096,4096,1,12290,20.758289337158203,0.00839790515601635,0.49145397543907166,0.8640163540840149,1,1
div2k,0868.png,2030,8001,12.0,30.0,binary16,direct,0,4096,4096,1,12290,21.33618927001953,0.007351589854806662,0.42249545454978943,0.8893644213676453,1,1
div2k,0865.png,2030,8001,12.0,30.0,binary16,full_harq,1,8192,4096,2,16388,24.831430435180664,0.0032874334137886763,0.5767419934272766,0.8731329441070557,0,0
div2k,0866.png,2030,8001,12.0,30.0,binary16,full_harq,1,8192,4096,2,16388,31.321258544921875,0.0007376903085969388,0.4740694761276245,0.9333885312080383,0,0
div2k,0867.png,2030,8001,12.0,30.0,binary16,full_harq,1,8192,4096,2,16388,20.805482864379883,0.008307142183184624,0.49001580476760864,0.8681011199951172,1,0
div2k,0868.png,2030,8001,12.0,30.0,binary16,full_harq,1,8192,4096,2,16388,21.60749053955078,0.006906389724463224,0.4137507975101471,0.9026822447776794,1,0
div2k,0865.png,2030,8001,12.0,30.0,binary16,fm_only,0,4096,4096,1,12290,24.50637435913086,0.0035429310519248247,0.6013833284378052,0.8445689678192139,0,0
div2k,0866.png,2030,8001,12.0,30.0,binary16,fm_only,0,4096,4096,1,12290,31.378812789916992,0.0007279787678271532,0.47365349531173706,0.9317793846130371,0,0
div2k,0867.png,2030,8001,12.0,30.0,binary16,fm_only,0,4096,4096,1,12290,20.802793502807617,0.008312289603054523,0.49217280745506287,0.8639383316040039,1,1
div2k,0868.png,2030,8001,12.0,30.0,binary16,fm_only,0,4096,4096,1,12290,21.399011611938477,0.007246007677167654,0.42351415753364563,0.8892906308174133,1,1
div2k,0865.png,2030,8001,12.0,30.0,binary16,adaptive_harq,1,8192,4096,2,16388,24.831430435180664,0.0032874334137886763,0.5767419934272766,0.8731329441070557,0,0
div2k,0866.png,2030,8001,12.0,30.0,binary16,adaptive_harq,0,4096,4096,1,12290,31.382549285888672,0.0007273529190570116,0.4739299714565277,0.9318060874938965,0,0
div2k,0867.png,2030,8001,12.0,30.0,binary16,adaptive_harq,1,8192,4096,2,16388,20.805482864379883,0.008307142183184624,0.49001580476760864,0.8681011199951172,1,0
div2k,0868.png,2030,8001,12.0,30.0,binary16,adaptive_harq,1,8192,4096,2,16388,21.60749053955078,0.006906389724463224,0.4137507975101471,0.9026822447776794,1,0
div2k,0865.png,2030,8001,12.0,30.0,binary16,flowharq,1,8192,4096,2,16388,24.831430435180664,0.0032874334137886763,0.5767419934272766,0.8731329441070557,0,0
div2k,0866.png,2030,8001,12.0,30.0,binary16,flowharq,0,4096,4096,1,12290,31.378812789916992,0.0007279787678271532,0.47365349531173706,0.9317793846130371,0,0
div2k,0867.png,2030,8001,12.0,30.0,binary16,flowharq,1,8192,4096,2,16388,20.805482864379883,0.008307142183184624,0.49001580476760864,0.8681011199951172,1,0
div2k,0868.png,2030,8001,12.0,30.0,binary16,flowharq,1,8192,4096,2,16388,21.60749053955078,0.006906389724463224,0.4137507975101471,0.9026822447776794,1,0
div2k,0869.png,2030,8001,12.0,30.0,ideal,direct,0,4096,4096,1,12290,18.89879035949707,0.012886084616184235,0.5407528281211853,0.814363420009613,1,1
div2k,0870.png,2030,8001,12.0,30.0,ideal,direct,0,4096,4096,1,12290,23.298946380615234,0.004678488243371248,0.38840916752815247,0.8907158374786377,1,1
div2k,0871.png,2030,8001,12.0,30.0,ideal,direct,0,4096,4096,1,12290,23.930456161499023,0.004045332781970501,0.5201698541641235,0.8663632273674011,1,1
div2k,0872.png,2030,8001,12.0,30.0,ideal,direct,0,4096,4096,1,12290,20.20041275024414,0.00954902172088623,0.49583932757377625,0.8615301251411438,1,1
div2k,0869.png,2030,8001,12.0,30.0,ideal,full_harq,1,8192,4096,2,16388,19.007413864135742,0.012567778117954731,0.5402041077613831,0.8225467801094055,1,0
