dataset,image,training_seed,channel_seed,snr_db,speed_kmh,scale_mode,method,nack,payload_uses,scale_bits,feedback_bits,total_uses,psnr,mse,lpips,ms_ssim,outage,false_ack
kodak,16.png,2030,9001,0.0,30.0,binary16,direct,0,4096,4096,1,12290,22.844696044921875,0.005194340832531452,0.6756388545036316,0.7340756058692932,1,1
kodak,13.png,2030,9001,0.0,30.0,binary16,full_harq,1,8192,4096,2,16388,19.429637908935547,0.011403447948396206,0.7854138612747192,0.675713300704956,1,0
kodak,14.png,2030,9001,0.0,30.0,binary16,full_harq,1,8192,4096,2,16388,17.594018936157227,0.017401956021785736,0.6200444102287292,0.6590546369552612,1,0
kodak,15.png,2030,9001,0.0,30.0,binary16,full_harq,1,8192,4096,2,16388,22.349559783935547,0.00582162057980895,0.5150212049484253,0.8385787010192871,1,0
kodak,16.png,2030,9001,0.0,30.0,binary16,full_harq,1,8192,4096,2,16388,23.047521591186523,0.004957329481840134,0.6732415556907654,0.7442402243614197,1,0
kodak,13.png,2030,9001,0.0,30.0,binary16,fm_only,0,4096,4096,1,12290,15.639437675476074,0.027293315157294273,0.9994007349014282,0.3239375948905945,1,1
kodak,14.png,2030,9001,0.0,30.0,binary16,fm_only,0,4096,4096,1,12290,15.265130996704102,0.029749996960163116,0.7697939276695251,0.3576735258102417,1,1
kodak,15.png,2030,9001,0.0,30.0,binary16,fm_only,0,4096,4096,1,12290,20.986133575439453,0.007968684658408165,0.6373267769813538,0.7475471496582031,1,1
kodak,16.png,2030,9001,0.0,30.0,binary16,fm_only,0,4096,4096,1,12290,22.882667541503906,0.005149123724550009,0.7142808437347412,0.7211830019950867,1,1
kodak,13.png,2030,9001,0.0,30.0,binary16,adaptive_harq,1,8192,4096,2,16388,19.429637908935547,0.011403447948396206,0.7854138612747192,0.675713300704956,1,0
kodak,14.png,2030,9001,0.0,30.0,binary16,adaptive_harq,1,8192,4096,2,16388,17.594018936157227,0.017401956021785736,0.6200444102287292,0.6590546369552612,1,0
kodak,15.png,2030,9001,0.0,30.0,binary16,adaptive_harq,1,8192,4096,2,16388,22.349559783935547,0.00582162057980895,0.5150212049484253,0.8385787010192871,1,0
kodak,16.png,2030,9001,0.0,30.0,binary16,adaptive_harq,1,8192,4096,2,16388,23.047521591186523,0.004957329481840134,0.6732415556907654,0.7442402243614197,1,0
kodak,13.png,2030,9001,0.0,30.0,binary16,flowharq,1,8192,4096,2,16388,19.429637908935547,0.011403447948396206,0.7854138612747192,0.675713300704956,1,0
kodak,14.png,2030,9001,0.0,30.0,binary16,flowharq,1,8192,4096,2,16388,17.594018936157227,0.017401956021785736,0.6200444102287292,0.6590546369552612,1,0
kodak,15.png,2030,9001,0.0,30.0,binary16,flowharq,1,8192,4096,2,16388,22.349559783935547,0.00582162057980895,0.5150212049484253,0.8385787010192871,1,0
kodak,16.png,2030,9001,0.0,30.0,binary16,flowharq,1,8192,4096,2,16388,23.047521591186523,0.004957329481840134,0.6732415556907654,0.7442402243614197,1,0
